employee_id,department,job_role,education_level,years_at_company,monthly_hours_worked,attendance_rate,training_hours,tasks_completed,peer_review_score,manager_rating,promotions_last_3years,salary_band,work_location,performance_score,month
E1000,HR,Manager,PhD,7,154.5,97.6,5.9,4,9.55,6.03,1,Medium,Onsite,14.66,2024-01
E1000,IT,Executive,PhD,6,174.6,100.0,0.1,3,8.41,4.05,2,Low,Hybrid,20.21,2024-01
E1000,Marketing,Manager,PhD,9,161.2,92.4,3.8,4,8.92,8.65,0,Medium,Onsite,7.4,2024-03
E1000,HR,Manager,Bachelors,6,163.2,88.0,0.6,12,5.93,5.31,0,Low,Hybrid,10.69,2024-03
E1000,Marketing,Manager,PhD,9,153.2,98.1,,3,8.9,7.66,0,Low,Hybrid,18.92,2024-04
E1000,Marketing,Developer,Bachelors,7,148.9,89.0,6.6,9,9.53,7.17,0,Medium,Hybrid,12.73,2024-05
E1000,Finance,Manager,Bachelors,4,157.8,96.8,8.0,3,6.72,8.83,1,High,Remote,15.25,2024-06
E1000,Finance,Analyst,Bachelors,4,161.0,99.8,3.6,4,7.01,1.69,0,Low,Remote,14.38,2024-07
E1000,HR,Manager,Masters,3,150.9,90.9,4.0,4,6.65,9.17,0,Low,Remote,17.84,2024-08
E1000,Finance,Associate,Masters,8,161.0,92.8,3.7,6,7.51,9.29,0,Low,Hybrid,17.53,2024-09
E1000,Sales,Associate,Bachelors,6,174.0,88.0,6.2,4,10.0,10.0,0,Medium,Onsite,17.88,2024-10
E1000,Marketing,Analyst,PhD,3,154.6,100.0,5.9,7,3.8,7.03,0,High,Remote,15.65,2024-11
E1001,Marketing,Executive,PhD,1,162.6,98.9,2.5,8,5.52,7.35,1,Low,Onsite,7.64,2024-01
E1001,IT,Analyst,Bachelors,9,146.7,94.9,7.7,10,6.4,9.6,1,Low,Onsite,8.39,2024-01
E1001,Sales,Analyst,Masters,1,166.3,90.7,2.9,6,8.22,6.1,0,High,Remote,16.64,2024-03
E1001,IT,Analyst,Masters,7,158.9,86.3,2.3,6,5.07,4.95,1,Low,Hybrid,5.99,2024-03
E1001,Finance,Manager,PhD,9,150.4,100.0,6.8,12,6.59,6.03,0,High,Onsite,15.83,2024-04
E1001,Marketing,Executive,Bachelors,6,155.9,95.4,3.2,5,7.0,10.0,0,Medium,Remote,22.93,2024-05
E1001,Finance,Associate,Bachelors,4,146.9,85.0,3.3,4,8.76,6.77,0,High,Remote,16.32,2024-06
E1001,HR,Executive,Bachelors,6,169.5,100.0,,5,9.98,6.53,0,Medium,Remote,23.71,2024-07
E1001,Finance,Manager,Bachelors,5,147.1,94.5,1.0,5,5.55,7.81,0,High,Hybrid,17.35,2024-08
E1001,Finance,Executive,PhD,8,163.4,99.6,6.2,8,9.05,5.91,0,Medium,Remote,8.49,2024-09
E1001,Sales,Executive,Masters,2,155.1,96.0,6.8,3,6.8,8.9,1,Low,Onsite,20.6,2024-10
E1001,Marketing,Associate,Masters,4,164.5,94.6,0.6,7,9.58,8.53,1,High,Hybrid,8.28,2024-11
E1002,Sales,Associate,Masters,3,173.1,95.1,6.4,3,7.03,7.65,1,Medium,Onsite,12.45,2024-01
E1002,IT,Associate,Masters,3,151.5,94.9,5.4,8,6.29,7.65,1,Low,Onsite,22.25,2024-01
E1002,HR,Executive,PhD,9,166.1,100.0,4.1,5,7.81,9.31,1,Low,Hybrid,12.04,2024-03
E1002,Sales,Associate,Bachelors,9,142.6,100.0,4.7,5,10.0,9.89,1,Medium,Remote,5.33,2024-03
E1002,Marketing,Developer,PhD,8,163.2,90.9,6.0,6,9.8,7.14,2,Medium,Hybrid,18.75,2024-04
E1002,HR,Manager,PhD,5,168.4,89.7,3.6,8,6.05,5.03,1,High,Remote,10.38,2024-05
E1002,Finance,Manager,Masters,8,170.3,85.9,1.2,11,8.04,6.85,1,Medium,Onsite,12.14,2024-06
E1002,Sales,Manager,PhD,1,173.7,91.6,7.3,2,6.94,7.44,0,High,Remote,10.08,2024-07
E1002,Marketing,Executive,PhD,5,160.1,95.2,4.1,7,8.43,7.66,0,Low,Hybrid,10.26,2024-08
E1002,Finance,Associate,PhD,6,154.8,99.5,3.9,10,10.0,7.72,0,Low,Onsite,23.88,2024-09
E1002,Finance,Executive,PhD,7,179.1,96.1,4.6,3,9.63,3.95,0,High,Onsite,19.09,2024-10
E1002,Marketing,Analyst,Masters,3,138.3,100.0,1.5,8,9.75,5.99,0,Low,Onsite,19.49,2024-11
E1003,Finance,Analyst,Bachelors,6,145.7,94.0,5.1,4,4.08,6.78,1,Low,Onsite,11.54,2024-01
E1003,Marketing,Manager,Bachelors,1,161.8,95.2,6.6,5,7.6,7.8,1,High,Remote,9.62,2024-01
E1003,HR,Associate,Bachelors,2,175.2,82.7,3.4,2,6.14,5.71,0,Low,Hybrid,5.48,2024-03
E1003,Sales,Associate,Bachelors,1,156.5,84.4,7.7,10,5.54,2.84,1,Medium,Hybrid,12.41,2024-03
E1003,Marketing,Developer,Bachelors,5,153.5,92.6,3.8,6,6.2,7.78,1,High,Hybrid,12.76,2024-04
E1003,IT,Analyst,Masters,6,159.9,97.3,6.6,9,8.35,8.97,0,High,Hybrid,18.91,2024-05
E1003,Finance,Developer,PhD,4,168.8,86.6,3.5,5,4.29,10.0,1,Medium,Onsite,9.33,2024-06
E1003,IT,Executive,Bachelors,1,164.5,98.2,6.4,5,7.28,8.16,1,Medium,Onsite,16.31,2024-07
E1003,Marketing,Associate,Bachelors,3,163.9,92.9,5.6,7,10.0,7.04,0,High,Onsite,22.34,2024-08
E1003,HR,Manager,PhD,1,166.9,83.3,0.4,11,9.65,6.3,1,High,Onsite,10.89,2024-09
E1003,IT,Manager,Bachelors,5,156.5,99.1,7.6,7,,4.88,1,Medium,Onsite,11.51,2024-10
E1003,Marketing,Executive,Masters,6,155.9,87.7,6.6,4,5.25,5.25,1,High,Remote,13.13,2024-11
